課程名稱,上課地點,開放報名,開課日期,性質
缺氧作業主管訓練班第01期,高雄市新興區七賢一路251號14樓,2022/09/26,2022/10/26,在職
機電整合智能工業設計及製圖實務班 第01期,高雄市,2022/09/26,2022/12/30,職前
土木施工管理班第01期,高雄市新興區民生一路206號9樓之1,2022/09/25,2022/10/25,在職
工程材料估算實務班第04期,高雄市鼓山區中華一路203號7樓,2022/09/25,2022/10/25,在職
健康香草料理技能班第01期,高雄市苓雅區中正一路102號,2022/09/25,2022/10/25,在職
太陽光電案場開發班第01期,高雄市左營區政德路595號1F,2022/09/23,2022/10/23,在職
專業形象塑造與職場禮儀班第02期,高雄市苓雅區福德三路353巷60號3樓,2022/09/23,2022/10/23,在職
資訊安全實務班第01期,高雄市三民區堯山街8號,2022/09/23,2022/10/23,在職
智慧農業植保機應用班第04期,高雄市三民區博愛一路391號3F-1,2022/09/23,2022/10/23,在職
Python機器學習與深度學習實作班,高雄市三民區博愛一路287號9樓,2022/09/22,2022/11/20,在職
sketchup在工程設計上的應用實務班第01期,高雄市三民區建工路415號,2022/09/22,2022/12/04,在職
Excel數據分析整合應用班第02期,高雄市楠梓區高雄大學路700號,2022/09/22,2022/10/22,在職
中式麵食實作班第01期,高雄市鳳山區和平路42號,2022/09/22,2022/10/22,在職
復古翻領斜門襟襯衫暨時尚緊身褲實作班第01期,高雄市苓雅區福德二路77號,2022/09/22,2022/10/22,在職
中西複合式早午餐實作班,高雄市左營區民族一路679號1樓,2022/09/22,2022/10/22,在職
棒針編織實務班第02期,高雄市鳳山區維新路124號D棟11樓之3,2022/09/21,2022/10/21,在職
農地開發利用與分割處理實務班第03期,高雄市前金區中華四路283號5樓,2022/09/21,2022/10/21,在職
不動產經紀人專業訓練班第02期,高雄市苓雅區光華一路206號17樓之5,2022/09/20,2022/10/20,在職
電力節能Watch Dog看門系統程式設計班 第01期,高雄市,2022/09/20,2022/12/30,職前
手機攝影短片實務班第02期,高雄市鳳山區維新路124號D棟11樓之3,2022/09/19,2022/10/19,在職
日文N5會話實務班第01期,高雄市前金區中華四路283號5樓,2022/09/19,2022/10/19,在職
領隊導遊人員實務班第01期,高雄市苓雅區中正二路175號13樓之3,2022/09/19,2022/11/23,在職
自行車在地領騎培訓初階班第01期,高雄市前金區五福三路21號7樓,2022/09/19,2022/10/19,在職
互動式網站設計與網路社群經營人才養成班 第01期,高雄市,2022/09/19,2022/12/27,職前
實用韓語實務班第02期,高雄市鳳山區維新路122號11樓,2022/09/18,2022/10/18,在職
不動產經紀營業員專業訓練班第08期,高雄市新興區中山二路472號5樓之8,2022/09/18,2022/10/18,在職
勞動基準法逐條解析訓練班第02期,高雄市前金區大同二路145號5樓之五,2022/09/18,2022/10/18,在職
生活日語會話班第01期,高雄市前金區中華四路283號5樓,2022/09/18,2022/10/18,在職
堆高機操作人員訓練班第05期,高雄市前鎮區瑞隆路472號2樓,2022/09/18,2022/10/18,在職
買賣房屋評估與修繕工程實務班第01期,高雄市苓雅區光華一路206號17樓之5,2022/09/18,2022/10/18,在職
勞動法規暨勞健保應用班第01期,高雄市三民區博愛一路391號3F-1,2022/09/18,2022/10/18,在職
創意多媒體影音剪輯實作班第02期,高雄市三民區堯山街8號,2022/09/17,2022/10/17,在職
時尚姿體儀態美學班第01期,高雄市苓雅區光華一路206號17樓之5,2022/09/17,2022/10/17,在職
有機溶劑作業主管教育訓練班第01期,高雄市苓雅區中正一路315號4樓之2,2022/09/17,2022/10/17,在職
勞工關係專題碩士學分班第01期,高雄市前金區五福三路21號7樓7A,2022/09/16,2022/10/16,在職
醫學檢驗數據整合判讀班第02期,高雄市三民區十全一路100號,2022/09/16,2022/10/16,在職
月子調養料理班第01期,高雄市鳳山區和平路42號,2022/09/16,2022/10/16,在職
太陽光電系統工程管理班第01期,高雄市左營區政德路595號2樓,2022/09/16,2022/10/16,在職
韓語會話實務班第02期,高雄市鳳山區維新路124號D棟11樓之3,2022/09/16,2022/10/16,在職
韓語會話實務進階班第02期,高雄市鳳山區維新路124號D棟11樓之3,2022/09/15,2022/10/15,在職
Python大數據分析實作班第01期,高雄市三民區堯山街8號,2022/09/15,2022/10/15,在職
SolidWorks 3D製圖進階班第01期,高雄市三民區建國二路255號2樓,2022/09/15,2022/10/15,在職
人工智慧影像識別碩士學分班第01期,高雄市楠梓區卓越路二號,2022/09/15,2022/10/15,在職
LINE@暨社群行銷策略實務班第02期,高雄市鳳山區光遠路226號B1,2022/09/15,2022/10/15,在職
腳底按摩調理員課程班第06期,高雄市三民區遼寧一街115號,2022/09/15,2022/10/15,在職
跨境電商經營實戰班第01期,高雄市鹽埕區中正四路274號6樓,2022/09/15,2022/10/15,在職
寶石鑑定與首飾設計實作班第01期,高雄市前鎮區中山三路132號,2022/09/15,2022/10/15,在職
筋骨七大部位鬆解運用班,高雄市苓雅區武廟路124號2樓,2022/09/15,2022/10/15,在職
地方小吃製作實務班第02期,高雄市鳥松區澄清路840號,2022/09/15,2022/10/15,在職
